cod_cliente_ficticio,tipo_pessoa,produto,qtd_cotas_total,qtd_cotas_contempladas,qtd_cotas_nao_contempladas,vl_saldo_devedor_total,tempo_relacionamento_anos,nm_uf,vl_renda_mensal,dt_ultima_compra,tempo_medio_permanencia_meses,situacao_adimplencia,teve_cotas_canceladas,faixa_renda,recencia_dias,faixa_recencia,inadimplente_flag,cancelamento_flag,tem_veiculos_row,tem_imoveis_row,recencia_meses,elegivel,score_capacidade_veiculos,score_capacidade_imoveis,score_recencia,score_engajamento,score_relacionamento,score_afinidade_veiculos,score_afinidade_imoveis,score_veiculos,score_imoveis,produto_recomendado,score_conquiste,segmento_conquiste,score_produto_atual,segmento_produto_atual
CLI015983,FISICA,IMÓVEIS,1,1,0,99006.62,5,SANTA CATARINA,4529.69,2020-12-11,90,ADIMPLENTE,NÃO,Até 5 mil,2107,Mais de 5 anos,False,False,False,True,69.2,False,5,5,0,5,15,10,15,35,40,Não ofertar,40,Não prioritário,40.0,Não prioritário
CLI015984,FISICA,IMÓVEIS,1,0,1,274560.88,8,SANTA CATARINA,6000.0,2024-06-11,170,ADIMPLENTE,SIM,5 a 10 mil,829,2 a 5 anos,False,True,False,True,27.2,False,10,5,0,5,15,10,15,40,40,Não ofertar,40,Não prioritário,40.0,Não prioritário
CLI015985,FISICA,VEÍCULOS,1,1,0,24803.92,1,RIO GRANDE DO SUL,8037.43,2025-05-12,60,ADIMPLENTE,NÃO,5 a 10 mil,494,1 a 2 anos,False,False,True,False,16.2,True,10,5,10,5,8,15,10,48,38,VEÍCULOS,48,Nutrição,48.0,Nutrição
CLI015986,FISICA,VEÍCULOS,1,0,1,26939.19,3,PARANA,8000.0,2023-08-20,13,ADIMPLENTE,NÃO,5 a 10 mil,1125,2 a 5 anos,False,False,True,False,37.0,False,10,5,0,5,12,15,10,42,32,Não ofertar,42,Não prioritário,42.0,Não prioritário
CLI015987,FISICA,IMÓVEIS,1,0,1,252327.06,1,RIO GRANDE DO SUL,6000.0,2025-01-13,197,ADIMPLENTE,NÃO,5 a 10 mil,613,1 a 2 anos,False,False,False,True,20.1,True,10,5,10,5,8,10,15,43,43,AMBOS,43,Nutrição,43.0,Nutrição
CLI015988,FISICA,VEÍCULOS,1,0,1,59564.55,3,SANTA CATARINA,20000.0,2023-09-18,60,ADIMPLENTE,NÃO,10 a 20 mil,1096,2 a 5 anos,False,False,True,False,36.0,False,30,20,0,5,12,15,10,62,47,Não ofertar,62,Não prioritário,62.0,Não prioritário
CLI015989,FISICA,IMÓVEIS,1,0,1,253546.97,1,SANTA CATARINA,25000.0,2025-02-13,197,ADIMPLENTE,NÃO,20 a 30 mil,582,1 a 2 anos,False,False,False,True,19.1,True,30,20,10,5,8,10,15,63,58,VEÍCULOS,63,Nutrição,58.0,Nutrição
CLI015990,FISICA,VEÍCULOS,1,0,1,113965.82,0,RIO GRANDE DO SUL,5000.0,2025-11-10,106,INADIMPLENTE,NÃO,Até 5 mil,312,6 a 12 meses,True,False,True,False,10.2,False,10,5,15,5,5,15,10,50,40,Não ofertar,50,Não prioritário,50.0,Não prioritário
CLI015991,JURÍDICA,IMÓVEIS,3,0,3,4454697.68,1,CEARA,68306148.9,2025-11-20,198,ADIMPLENTE,NÃO,Acima de 500 mil,302,6 a 12 meses,False,False,False,True,9.9,True,30,30,15,15,8,10,15,78,83,IMÓVEIS,83,Alta prioridade,83.0,Alta prioridade
CLI015992,FISICA,VEÍCULOS,1,1,0,2675.15,3,RIO GRANDE DO SUL,6100.0,2023-01-25,13,ADIMPLENTE,NÃO,5 a 10 mil,1332,2 a 5 anos,False,False,True,False,43.8,False,10,5,0,5,12,15,10,42,32,Não ofertar,42,Não prioritário,42.0,Não prioritário
CLI015993,JURÍDICA,VEÍCULOS,2,0,2,338324.3,0,RIO GRANDE DO SUL,6887221.11,2026-07-24,74,ADIMPLENTE,NÃO,Acima de 500 mil,56,Até 3 meses,False,False,True,False,1.8,True,30,30,20,10,5,15,10,80,75,VEÍCULOS,80,Alta prioridade,80.0,Alta prioridade
CLI015994,FISICA,IMÓVEIS,1,1,0,14352.65,13,RIO GRANDE DO SUL,6364.0,2013-04-23,14,ADIMPLENTE,NÃO,5 a 10 mil,4896,Mais de 5 anos,False,False,False,True,160.8,False,10,5,0,5,15,10,15,40,40,Não ofertar,40,Não prioritário,40.0,Não prioritário
CLI015995,FISICA,IMÓVEIS,69,69,0,5362294.98,8,SAO PAULO,313085.33,2023-05-11,99,INADIMPLENTE,NÃO,100 a 500 mil,1226,2 a 5 anos,True,False,False,True,40.3,False,30,30,0,20,15,10,15,75,80,Não ofertar,80,Não prioritário,80.0,Não prioritário
CLI015995,FISICA,VEÍCULOS,10,10,0,214025.39,8,SAO PAULO,313085.33,2024-03-12,41,INADIMPLENTE,NÃO,100 a 500 mil,920,2 a 5 anos,True,False,True,False,30.2,False,30,30,0,20,15,15,10,80,75,Não ofertar,80,Não prioritário,80.0,Não prioritário
CLI015996,FISICA,IMÓVEIS,1,1,0,0.0,12,PARANA,3000.0,2014-09-09,25,ADIMPLENTE,NÃO,Até 5 mil,4392,Mais de 5 anos,False,False,False,True,144.3,False,5,5,0,5,15,10,15,35,40,Não ofertar,40,Não prioritário,40.0,Não prioritário
CLI015997,FISICA,VEÍCULOS,1,0,1,76478.89,3,RIO GRANDE DO SUL,3000.0,2023-02-27,64,ADIMPLENTE,NÃO,Até 5 mil,1299,2 a 5 anos,False,False,True,False,42.7,False,5,5,0,5,12,15,10,37,32,Não ofertar,37,Não prioritário,37.0,Não prioritário
CLI015998,FISICA,IMÓVEIS,1,0,1,280845.86,4,RIO GRANDE DO SUL,10000.0,2022-03-24,136,ADIMPLENTE,NÃO,5 a 10 mil,1639,2 a 5 anos,False,False,False,True,53.8,False,20,10,0,5,12,10,15,47,42,Não ofertar,47,Não prioritário,42.0,Não prioritário
CLI015999,FISICA,VEÍCULOS,1,0,1,119555.97,0,RIO GRANDE DO SUL,8000.0,2026-07-23,106,ADIMPLENTE,NÃO,5 a 10 mil,57,Até 3 meses,False,False,True,False,1.9,True,10,5,20,5,5,15,10,55,45,VEÍCULOS,55,Nutrição,55.0,Nutrição
CLI016000,FISICA,VEÍCULOS,1,1,0,37749.57,5,RIO GRANDE DO SUL,10000.0,2021-09-13,2,ADIMPLENTE,NÃO,5 a 10 mil,1831,Mais de 5 anos,False,False,True,False,60.2,False,20,10,0,5,15,15,10,55,40,Não ofertar,55,Não prioritário,55.0,Não prioritário
CLI016001,FISICA,VEÍCULOS,1,1,0,54542.53,7,RIO GRANDE DO SUL,2393.39,2022-12-14,64,ADIMPLENTE,NÃO,Até 5 mil,1374,2 a 5 anos,False,False,True,False,45.1,False,5,5,0,5,15,15,10,40,35,Não ofertar,40,Não prioritário,40.0,Não prioritário
CLI016002,FISICA,IMÓVEIS,1,0,1,93602.05,4,PARANA,5000.0,2022-04-29,127,ADIMPLENTE,NÃO,Até 5 mil,1603,2 a 5 anos,False,False,False,True,52.7,False,10,5,0,5,12,10,15,37,37,Não ofertar,37,Não prioritário,37.0,Não prioritário
CLI016003,FISICA,IMÓVEIS,2,0,2,416568.26,1,RIO GRANDE DO SUL,15000.0,2025-07-28,184,INADIMPLENTE,NÃO,10 a 20 mil,417,1 a 2 anos,True,False,False,True,13.7,False,25,10,10,10,8,10,15,63,53,Não ofertar,63,Não prioritário,53.0,Não prioritário
CLI016004,FISICA,IMÓVEIS,1,0,1,376351.67,1,RIO GRANDE DO SUL,15000.0,2025-08-29,206,ADIMPLENTE,NÃO,10 a 20 mil,385,1 a 2 anos,False,False,False,True,12.6,True,25,10,10,5,8,10,15,58,48,VEÍCULOS,58,Nutrição,48.0,Nutrição
CLI016005,FISICA,IMÓVEIS,1,0,1,651856.41,1,RIO GRANDE DO SUL,14100.0,2025-04-30,193,ADIMPLENTE,NÃO,10 a 20 mil,506,1 a 2 anos,False,False,False,True,16.6,True,20,10,10,5,8,10,15,53,48,VEÍCULOS,53,Nutrição,48.0,Nutrição
